unique_id,ds,Chronos
hotel_84,2023-07-01,0.9393594
hotel_84,2023-07-02,0.9282008
hotel_84,2023-07-03,0.92520434
hotel_84,2023-07-04,0.93298656
hotel_84,2023-07-05,0.94288236
hotel_84,2023-07-06,0.95913243
hotel_84,2023-07-07,0.97281
hotel_84,2023-07-08,0.9803542
hotel_84,2023-07-09,0.96204746
hotel_84,2023-07-10,0.94369054
hotel_84,2023-07-11,0.942654
hotel_84,2023-07-12,0.94612765
hotel_84,2023-07-13,0.96012425
hotel_84,2023-07-14,0.96871483
hotel_84,2023-07-15,0.9809567
hotel_84,2023-07-16,0.95849043
hotel_84,2023-07-17,0.9365318
hotel_84,2023-07-18,0.93670267
hotel_84,2023-07-19,0.9481649
hotel_84,2023-07-20,0.96205676
hotel_84,2023-07-21,0.976561
hotel_84,2023-07-22,0.98834884
hotel_84,2023-07-23,0.97043014
hotel_84,2023-07-24,0.9515809
hotel_84,2023-07-25,0.9551297
hotel_84,2023-07-26,0.9634949
hotel_84,2023-07-27,0.98381066
hotel_84,2023-07-28,0.9942945
hotel_91,2023-07-01,0.8926953
hotel_91,2023-07-02,0.81935775
hotel_91,2023-07-03,0.8516574
hotel_91,2023-07-04,0.9341924
hotel_91,2023-07-05,0.93554807
hotel_91,2023-07-06,0.9087808
hotel_91,2023-07-07,0.8799515
hotel_91,2023-07-08,0.8762665
hotel_91,2023-07-09,0.81351864
hotel_91,2023-07-10,0.86992234
hotel_91,2023-07-11,0.95392525
hotel_91,2023-07-12,0.94605386
hotel_91,2023-07-13,0.9013064
hotel_91,2023-07-14,0.8596017
hotel_91,2023-07-15,0.8411225
hotel_91,2023-07-16,0.7686602
hotel_91,2023-07-17,0.8270479
hotel_91,2023-07-18,0.9390591
hotel_91,2023-07-19,0.9526917
hotel_91,2023-07-20,0.9190982
hotel_91,2023-07-21,0.88414264
hotel_91,2023-07-22,0.8781204
hotel_91,2023-07-23,0.80715144
hotel_91,2023-07-24,0.86047035
hotel_91,2023-07-25,0.9551702
hotel_91,2023-07-26,0.94846225
hotel_91,2023-07-27,0.8890443
hotel_91,2023-07-28,0.8425852
hotel_98,2023-07-01,0.49415588
hotel_98,2023-07-02,0.25831547
hotel_98,2023-07-03,0.18164222
hotel_98,2023-07-04,0.16981378
hotel_98,2023-07-05,0.15576367
hotel_98,2023-07-06,0.18392721
hotel_98,2023-07-07,0.30455863
hotel_98,2023-07-08,0.33427024
hotel_98,2023-07-09,0.1734034
hotel_98,2023-07-10,0.12781197
hotel_98,2023-07-11,0.12401247
hotel_98,2023-07-12,0.112816215
hotel_98,2023-07-13,0.13798025
hotel_98,2023-07-14,0.24627586
hotel_98,2023-07-15,0.28553993
hotel_98,2023-07-16,0.1336207
hotel_98,2023-07-17,0.1036116
hotel_98,2023-07-18,0.12745318
hotel_98,2023-07-19,0.13131903
hotel_98,2023-07-20,0.1556912
hotel_98,2023-07-21,0.2892222
hotel_98,2023-07-22,0.35158736
hotel_98,2023-07-23,0.20800649
hotel_98,2023-07-24,0.16213554
hotel_98,2023-07-25,0.16540873
hotel_98,2023-07-26,0.17517684
hotel_98,2023-07-27,0.22871558
hotel_98,2023-07-28,0.37438315
